ROUTE,SOURCE,TARGET,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,source_lat,source_lon,target_lat,target_lon,ID,flow
ABQ-PDX,ABQ,PDX,62,56,62,60,62,100,116,116,110,66,35.03894,-106.6082,45.58871,-122.5968,1,810
ABQ-SEA,ABQ,SEA,67,56,103,120,124,120,124,122,110,114,35.03894,-106.6082,47.44989,-122.3117,2,1060
ALW-SEA,ALW,SEA,168,152,162,156,158,154,160,152,120,124,46.0952,-118.2859,47.44989,-122.3117,3,1506
ANC-PDX,ANC,PDX,128,112,124,120,208,278,290,282,190,186,61.17416,-149.9982,45.58871,-122.5968,4,1918
ANC-SEA,ANC,SEA,916,814,963,950,1210,1557,1667,1643,1249,981,61.17416,-149.9982,47.44989,-122.3117,5,11950
ATL-PDX,ATL,PDX,171,154,184,172,186,297,391,305,234,176,33.63671,-84.42787,45.58871,-122.5968,6,2270
ATL-SEA,ATL,SEA,385,348,467,492,524,550,715,672,555,506,33.63671,-84.42787,47.44989,-122.3117,7,5214
AUS-PDX,AUS,PDX,62,56,62,80,89,124,144,102,94,90,30.19453,-97.66988,45.58871,-122.5968,8,903
AUS-SEA,AUS,SEA,180,152,169,189,210,216,220,218,196,201,30.19453,-97.66988,47.44989,-122.3117,9,1951
AZA-BLI,AZA,BLI,22,22,38,30,28,26,32,26,20,24,33.30777,-111.6555,48.7927,-122.5375,10,268
AZA-BOI,AZA,BOI,18,16,18,18,16,18,18,18,16,18,33.30777,-111.6555,43.56437,-116.2228,11,174
AZA-EUG,AZA,EUG,18,16,26,22,18,20,26,18,20,16,33.30777,-111.6555,44.12459,-123.2119,12,200
AZA-IDA,AZA,IDA,18,20,26,20,24,34,36,26,16,24,33.30777,-111.6555,43.51373,-112.0707,13,244
AZA-MFR,AZA,MFR,0,0,0,0,8,18,18,8,0,0,33.30777,-111.6555,42.37423,-122.8735,14,52
AZA-PSC,AZA,PSC,18,16,26,20,18,18,24,18,18,16,33.30777,-111.6555,46.2647,-119.119,15,192
BIL-PDX,BIL,PDX,62,56,62,60,62,60,62,62,60,62,45.80786,-108.5435,45.58871,-122.5968,16,608
BIL-SEA,BIL,SEA,116,104,120,120,124,120,124,124,120,124,45.80786,-108.5435,47.44989,-122.3117,17,1196
BLI-AZA,BLI,AZA,22,22,38,30,28,26,32,26,20,24,48.7927,-122.5375,33.30777,-111.6555,18,268
BLI-DEN,BLI,DEN,0,0,0,0,8,18,18,12,0,0,48.7927,-122.5375,39.86167,-104.6731,19,56
BLI-KOA,BLI,KOA,8,8,10,0,0,0,0,0,0,0,48.7927,-122.5375,19.73877,-156.0456,20,26
BLI-LAS,BLI,LAS,106,118,150,148,140,128,132,134,128,142,48.7927,-122.5375,36.08006,-115.1522,21,1326
BLI-LAX,BLI,LAX,18,16,34,26,28,30,36,30,18,16,48.7927,-122.5375,33.9425,-118.408,22,252
BLI-OAK,BLI,OAK,28,24,36,32,32,40,44,44,28,28,48.7927,-122.5375,37.72125,-122.2211,23,336
BLI-OGG,BLI,OGG,36,32,35,0,0,0,0,0,0,0,48.7927,-122.5375,20.89866,-156.4304,24,103
BLI-PDX,BLI,PDX,62,56,62,60,86,120,124,99,0,0,48.7927,-122.5375,45.58871,-122.5968,25,669
BLI-PSP,BLI,PSP,28,32,48,30,26,16,18,18,18,32,48.7927,-122.5375,33.82967,-116.5067,26,266
BLI-SAN,BLI,SAN,18,16,18,18,16,18,18,18,16,18,48.7927,-122.5375,32.73356,-117.1896,27,174
BLI-SEA,BLI,SEA,274,222,274,293,300,290,300,300,280,290,48.7927,-122.5375,47.44989,-122.3117,28,2823
BNA-SEA,BNA,SEA,116,103,122,118,120,194,246,233,170,117,36.12448,-86.67817,47.44989,-122.3117,29,1539
BOI-AZA,BOI,AZA,18,16,18,18,16,18,18,18,16,18,43.56437,-116.2228,33.30777,-111.6555,30,174
BOI-DAL,BOI,DAL,0,0,0,0,0,8,8,2,0,0,43.56437,-116.2228,32.84595,-96.85088,31,18
BOI-DEN,BOI,DEN,369,336,375,387,396,438,459,446,398,430,43.56437,-116.2228,39.86167,-104.6731,32,4034
BOI-DFW,BOI,DFW,62,56,62,60,62,108,120,102,60,62,43.56437,-116.2228,32.89724,-97.0377,33,754
BOI-GEG,BOI,GEG,245,211,255,258,264,256,262,262,240,240,43.56437,-116.2228,47.61903,-117.5352,34,2493
BOI-IAH,BOI,IAH,62,56,62,60,62,60,62,62,60,62,43.56437,-116.2228,29.98444,-95.34145,35,608
BOI-LAS,BOI,LAS,141,127,142,132,133,136,140,142,136,140,43.56437,-116.2228,36.08006,-115.1522,36,1369
BOI-LAX,BOI,LAX,158,128,142,138,140,139,142,142,138,186,43.56437,-116.2228,33.9425,-118.408,37,1453
BOI-LWS,BOI,LWS,62,56,62,60,60,51,53,43,0,0,43.56437,-116.2228,46.37451,-117.0154,38,447
BOI-MDW,BOI,MDW,0,0,0,0,0,48,62,18,10,0,43.56437,-116.2228,41.78598,-87.75242,39,138
BOI-MSP,BOI,MSP,92,96,114,112,116,158,168,166,114,114,43.56437,-116.2228,44.88198,-93.22179,40,1250
BOI-OAK,BOI,OAK,126,110,124,120,124,120,122,124,116,122,43.56437,-116.2228,37.72125,-122.2211,41,1208
BOI-ORD,BOI,ORD,140,140,186,166,182,180,186,186,180,185,43.56437,-116.2228,41.97453,-87.9066,42,1731
BOI-PDX,BOI,PDX,422,384,412,396,415,418,432,434,403,422,43.56437,-116.2228,45.58871,-122.5968,43,4138
BOI-PHX,BOI,PHX,260,252,308,298,308,300,306,266,180,186,43.56437,-116.2228,33.43428,-112.0115,44,2664
BOI-RNO,BOI,RNO,62,56,56,52,54,50,54,54,48,52,43.56437,-116.2228,39.49912,-119.7681,45,538
BOI-SAN,BOI,SAN,124,112,124,120,124,120,124,124,120,127,43.56437,-116.2228,32.73356,-117.1896,46,1219
BOI-SEA,BOI,SEA,755,640,753,754,808,768,907,897,750,776,43.56437,-116.2228,47.44989,-122.3117,47,7808
BOI-SFO,BOI,SFO,294,272,309,289,310,300,302,310,296,303,43.56437,-116.2228,37.61881,-122.3754,48,2985
BOI-SJC,BOI,SJC,62,56,62,106,124,120,124,124,120,124,43.56437,-116.2228,37.363,-121.9286,49,1022
BOI-SLC,BOI,SLC,394,352,410,404,404,400,392,416,366,394,43.56437,-116.2228,40.7884,-111.9777,50,3932
BOI-SMF,BOI,SMF,124,112,124,120,124,120,124,124,118,133,43.56437,-116.2228,38.69545,-121.5907,51,1223
BOS-PDX,BOS,PDX,46,40,56,60,114,205,240,227,157,134,42.36295,-71.00639,45.58871,-122.5968,52,1279
BOS-SEA,BOS,SEA,268,248,320,390,450,488,538,522,436,404,42.36295,-71.00639,47.44989,-122.3117,53,4064
BUR-PDX,BUR,PDX,190,218,228,215,205,205,240,247,240,246,34.2007,-118.3586,45.58871,-122.5968,54,2234
BUR-SEA,BUR,SEA,186,168,186,180,186,200,240,238,228,236,34.2007,-118.3586,47.44989,-122.3117,55,2048
BWI-PDX,BWI,PDX,0,0,0,0,0,104,124,62,0,0,39.17574,-76.66899,45.58871,-122.5968,56,290
BWI-SEA,BWI,SEA,138,114,172,180,186,180,185,186,129,108,39.17574,-76.66899,47.44989,-122.3117,57,1578
BZN-PDX,BZN,PDX,4,0,0,2,86,108,124,112,60,60,45.77724,-111.1502,45.58871,-122.5968,58,556
BZN-SEA,BZN,SEA,192,168,192,176,148,182,204,194,180,186,45.77724,-111.1502,47.44989,-122.3117,59,1822
CHS-SEA,CHS,SEA,36,32,40,44,44,42,44,46,40,44,32.89865,-80.04053,47.44989,-122.3117,60,412
CLE-PDX,CLE,PDX,0,0,0,20,28,24,28,8,0,0,41.40942,-81.8547,45.58871,-122.5968,61,108
CLE-SEA,CLE,SEA,0,0,0,26,34,36,34,14,0,0,41.40942,-81.8547,47.44989,-122.3117,62,144
CLT-PDX,CLT,PDX,76,56,62,60,60,60,116,86,82,86,35.21376,-80.94906,45.58871,-122.5968,63,744
CLT-SEA,CLT,SEA,160,152,131,104,176,227,242,243,227,182,35.21376,-80.94906,47.44989,-122.3117,64,1844
COS-SEA,COS,SEA,0,0,0,20,28,24,28,8,0,0,38.80581,-104.7007,47.44989,-122.3117,65,108
CVG-SEA,CVG,SEA,0,0,43,43,44,50,62,62,42,31,39.04884,-84.66783,47.44989,-122.3117,66,377
DAL-BOI,DAL,BOI,0,0,0,0,0,8,8,2,0,0,32.84595,-96.85088,43.56437,-116.2228,67,18
DAL-PDX,DAL,PDX,130,121,127,120,124,120,124,125,118,132,32.84595,-96.85088,45.58871,-122.5968,68,1241
DAL-SEA,DAL,SEA,186,168,186,180,186,180,186,184,180,183,32.84595,-96.85088,47.44989,-122.3117,69,1819
DCA-PDX,DCA,PDX,62,56,62,60,62,60,62,62,60,62,38.85145,-77.03772,45.58871,-122.5968,70,608
DCA-SEA,DCA,SEA,124,112,124,120,121,120,124,124,118,124,38.85145,-77.03772,47.44989,-122.3117,71,1211
DEN-BLI,DEN,BLI,0,0,0,0,8,18,18,12,0,0,39.86167,-104.6731,48.7927,-122.5375,72,56
DEN-BOI,DEN,BOI,369,336,375,387,396,438,459,446,398,430,39.86167,-104.6731,43.56437,-116.2228,73,4034
DEN-EUG,DEN,EUG,123,112,122,120,122,160,170,170,154,153,39.86167,-104.6731,44.12459,-123.2119,74,1406
DEN-GEG,DEN,GEG,246,218,246,242,282,341,358,350,308,328,39.86167,-104.6731,47.61903,-117.5352,75,2919
DEN-IDA,DEN,IDA,138,112,124,158,174,226,244,246,178,222,39.86167,-104.6731,43.51373,-112.0707,76,1822
DEN-MFR,DEN,MFR,123,112,124,115,122,168,184,146,176,177,39.86167,-104.6731,42.37423,-122.8735,77,1447
DEN-OTH,DEN,OTH,0,0,0,0,0,12,18,18,18,2,39.86167,-104.6731,43.41695,-124.247,78,68
DEN-PDX,DEN,PDX,528,468,538,551,574,600,628,646,601,617,39.86167,-104.6731,45.58871,-122.5968,79,5751
DEN-PSC,DEN,PSC,124,112,124,116,120,160,166,130,152,156,39.86167,-104.6731,46.2647,-119.119,80,1360
DEN-RDM,DEN,RDM,76,56,62,100,124,148,152,158,152,155,39.86167,-104.6731,44.25407,-121.1499,81,1183
DEN-SEA,DEN,SEA,1064,930,1066,1084,1152,1291,1342,1360,1181,1108,39.86167,-104.6731,47.44989,-122.3117,82,11578
DEN-SUN,DEN,SUN,62,55,62,4,0,5,62,62,7,0,39.86167,-104.6731,43.50379,-114.2955,83,319
DFW-BOI,DFW,BOI,62,56,62,60,62,108,120,102,60,62,32.89724,-97.0377,43.56437,-116.2228,84,754
DFW-GEG,DFW,GEG,76,56,62,60,62,96,102,92,57,62,32.89724,-97.0377,47.61903,-117.5352,85,725
DFW-PDX,DFW,PDX,274,224,303,300,332,355,362,370,346,300,32.89724,-97.0377,45.58871,-122.5968,86,3166
DFW-SEA,DFW,SEA,542,478,599,674,761,862,882,873,690,677,32.89724,-97.0377,47.44989,-122.3117,87,7038
DTW-PDX,DTW,PDX,67,56,103,132,184,158,158,139,84,84,42.21245,-83.35339,45.58871,-122.5968,88,1165
DTW-SEA,DTW,SEA,302,268,300,407,478,508,566,562,395,348,42.21245,-83.35339,47.44989,-122.3117,89,4134
EAT-SEA,EAT,SEA,176,144,172,172,202,230,240,228,168,176,47.39881,-120.2068,47.44989,-122.3117,90,1908
EUG-AZA,EUG,AZA,18,16,26,22,18,20,26,18,20,16,44.12459,-123.2119,33.30777,-111.6555,91,200
EUG-DEN,EUG,DEN,123,112,122,120,122,160,170,170,154,153,44.12459,-123.2119,39.86167,-104.6731,92,1406
EUG-LAS,EUG,LAS,18,16,18,18,22,27,24,18,16,18,44.12459,-123.2119,36.08006,-115.1522,93,195
EUG-LAX,EUG,LAX,142,128,146,138,140,140,142,142,140,142,44.12459,-123.2119,33.9425,-118.408,94,1400
EUG-OAK,EUG,OAK,18,16,22,18,18,20,28,26,22,16,44.12459,-123.2119,37.72125,-122.2211,95,204
EUG-PDX,EUG,PDX,184,209,197,172,180,180,186,182,152,156,44.12459,-123.2119,45.58871,-122.5968,96,1798
EUG-PHX,EUG,PHX,62,83,124,65,62,60,62,62,60,62,44.12459,-123.2119,33.43428,-112.0115,97,702
EUG-SAN,EUG,SAN,0,0,0,0,10,16,18,8,0,0,44.12459,-123.2119,32.73356,-117.1896,98,52
EUG-SEA,EUG,SEA,408,372,420,412,424,418,432,435,412,422,44.12459,-123.2119,47.44989,-122.3117,99,4155
EUG-SFO,EUG,SFO,239,189,229,236,248,280,282,293,258,262,44.12459,-123.2119,37.61881,-122.3754,100,2516
EUG-SJC,EUG,SJC,62,56,62,60,62,60,62,50,0,0,44.12459,-123.2119,37.363,-121.9286,101,474
EUG-SLC,EUG,SLC,114,100,124,120,120,120,124,126,120,124,44.12459,-123.2119,40.7884,-111.9777,102,1192
EWR-PDX,EWR,PDX,178,164,178,178,186,181,186,186,180,184,40.69249,-74.16869,45.58871,-122.5968,103,1801
EWR-SEA,EWR,SEA,327,304,361,360,372,408,434,428,394,396,40.69249,-74.16869,47.44989,-122.3117,104,3784
FAI-SEA,FAI,SEA,310,280,298,284,298,346,372,370,284,292,64.81511,-147.8564,47.44989,-122.3117,105,3134
FAT-PDX,FAT,PDX,62,56,62,60,63,70,70,70,60,62,36.77656,-119.7188,45.58871,-122.5968,106,635
FAT-SEA,FAT,SEA,124,112,148,180,186,180,184,186,178,184,36.77656,-119.7188,47.44989,-122.3117,107,1662
FCA-PDX,FCA,PDX,0,0,36,52,56,60,62,62,58,0,0,0,45.58871,-122.5968,108,386
FCA-SEA,FCA,SEA,168,152,174,172,180,180,186,186,180,184,0,0,47.44989,-122.3117,109,1762
FLL-SEA,FLL,SEA,74,64,90,118,108,120,124,124,70,62,26.07167,-80.1497,47.44989,-122.3117,110,954
GEG-BOI,GEG,BOI,245,211,255,258,264,256,262,262,240,240,47.61903,-117.5352,43.56437,-116.2228,111,2493
GEG-DEN,GEG,DEN,246,218,246,242,282,341,358,350,308,328,47.61903,-117.5352,39.86167,-104.6731,112,2919
GEG-DFW,GEG,DFW,76,56,62,60,62,96,102,92,57,62,47.61903,-117.5352,32.89724,-97.0377,113,725
GEG-LAS,GEG,LAS,124,112,124,120,124,120,124,136,134,142,47.61903,-117.5352,36.08006,-115.1522,114,1260
GEG-LAX,GEG,LAX,62,56,62,60,62,60,60,62,60,61,47.61903,-117.5352,33.9425,-118.408,115,605
GEG-MDW,GEG,MDW,0,0,0,0,0,48,62,12,0,0,47.61903,-117.5352,41.78598,-87.75242,116,122
GEG-MSP,GEG,MSP,120,108,124,120,124,166,220,202,158,124,47.61903,-117.5352,44.88198,-93.22179,117,1466
GEG-OAK,GEG,OAK,128,111,124,120,124,120,120,124,116,124,47.61903,-117.5352,37.72125,-122.2211,118,1211
GEG-ORD,GEG,ORD,61,56,62,61,62,59,62,63,70,72,47.61903,-117.5352,41.97453,-87.9066,119,628
GEG-PDX,GEG,PDX,452,360,457,472,514,540,555,558,519,546,47.61903,-117.5352,45.58871,-122.5968,120,4973
GEG-PHX,GEG,PHX,188,168,220,188,184,180,182,186,172,184,47.61903,-117.5352,33.43428,-112.0115,121,1852
GEG-SAN,GEG,SAN,0,0,0,0,0,0,0,0,8,61,47.61903,-117.5352,32.73356,-117.1896,122,69
GEG-SEA,GEG,SEA,1293,1146,1290,1301,1310,1332,1356,1392,1323,1369,47.61903,-117.5352,47.44989,-122.3117,123,13112
GEG-SFO,GEG,SFO,124,112,124,120,124,120,122,184,122,123,47.61903,-117.5352,37.61881,-122.3754,124,1275
GEG-SJC,GEG,SJC,0,0,0,46,62,60,62,62,60,62,47.61903,-117.5352,37.363,-121.9286,125,414
GEG-SLC,GEG,SLC,218,200,236,232,230,232,236,244,214,234,47.61903,-117.5352,40.7884,-111.9777,126,2276
GEG-SMF,GEG,SMF,62,56,62,60,62,60,62,62,60,62,47.61903,-117.5352,38.69545,-121.5907,127,608
GTF-SEA,GTF,SEA,62,56,62,103,112,120,124,118,94,97,47.48231,-111.3702,47.44989,-122.3117,128,948
HDN-SEA,HDN,SEA,36,32,28,0,0,0,0,0,0,0,40.4812,-107.2176,47.44989,-122.3117,129,96
HLN-SEA,HLN,SEA,62,56,62,60,62,60,62,62,58,62,46.60673,-111.9832,47.44989,-122.3117,130,606
HNL-PDX,HNL,PDX,128,116,134,120,132,136,142,134,120,124,21.31783,-157.9202,45.58871,-122.5968,131,1286
HNL-SEA,HNL,SEA,317,276,310,296,310,300,310,310,300,312,21.31783,-157.9202,47.44989,-122.3117,132,3041
HOU-PDX,HOU,PDX,0,0,0,46,62,60,62,12,0,0,29.64542,-95.2789,45.58871,-122.5968,133,242
HOU-SEA,HOU,SEA,0,0,0,0,0,48,62,12,0,0,29.64542,-95.2789,47.44989,-122.3117,134,122
IAD-PDX,IAD,PDX,14,0,46,60,62,60,62,62,60,62,38.94745,-77.45995,45.58871,-122.5968,135,488
IAD-SEA,IAD,SEA,185,160,222,232,240,284,308,309,288,299,38.94745,-77.45995,47.44989,-122.3117,136,2527
IAH-BOI,IAH,BOI,62,56,62,60,62,60,62,62,60,62,29.98444,-95.34145,43.56437,-116.2228,137,608
IAH-PDX,IAH,PDX,131,109,123,120,124,168,186,165,120,124,29.98444,-95.34145,45.58871,-122.5968,138,1370
IAH-SEA,IAH,SEA,332,272,340,407,515,538,556,524,403,383,29.98444,-95.34145,47.44989,-122.3117,139,4270
ICT-SEA,ICT,SEA,62,56,62,60,62,60,62,62,60,62,37.64995,-97.43306,47.44989,-122.3117,140,608
IDA-AZA,IDA,AZA,18,20,26,20,24,34,36,26,16,24,43.51373,-112.0707,33.30777,-111.6555,141,244
IDA-DEN,IDA,DEN,138,112,124,158,174,226,244,246,178,222,43.51373,-112.0707,39.86167,-104.6731,142,1822
IDA-LAS,IDA,LAS,18,16,18,18,16,18,18,18,12,18,43.51373,-112.0707,36.08006,-115.1522,143,170
IDA-LAX,IDA,LAX,0,0,0,0,0,14,18,16,0,0,43.51373,-112.0707,33.9425,-118.408,144,48
IDA-MSP,IDA,MSP,0,0,0,0,0,8,8,8,0,0,43.51373,-112.0707,44.88198,-93.22179,145,24
IDA-OAK,IDA,OAK,0,0,0,0,0,14,18,18,2,0,43.51373,-112.0707,37.72125,-122.2211,146,52
IDA-SLC,IDA,SLC,224,204,238,232,238,230,270,282,182,234,43.51373,-112.0707,40.7884,-111.9777,147,2334
IND-SEA,IND,SEA,62,56,62,60,62,86,122,124,114,116,39.71731,-86.29464,47.44989,-122.3117,148,864
JAC-SEA,JAC,SEA,14,8,10,0,0,8,8,8,0,0,43.60734,-110.7377,47.44989,-122.3117,149,56
JFK-PDX,JFK,PDX,168,146,180,204,226,272,284,298,224,194,40.63993,-73.7787,45.58871,-122.5968,150,2196
JFK-SEA,JFK,SEA,374,336,404,389,485,591,790,792,664,616,40.63993,-73.7787,47.44989,-122.3117,151,5441
JNU-SEA,JNU,SEA,158,144,159,162,253,383,403,403,219,155,58.35472,-134.5784,47.44989,-122.3117,152,2439
KOA-BLI,KOA,BLI,8,8,10,0,0,0,0,0,0,0,19.73877,-156.0456,48.7927,-122.5375,153,26
KOA-PDX,KOA,PDX,62,56,62,60,52,34,34,2,0,0,19.73877,-156.0456,45.58871,-122.5968,154,362
KOA-SEA,KOA,SEA,178,164,186,180,172,146,150,152,114,162,19.73877,-156.0456,47.44989,-122.3117,155,1604
KTN-SEA,KTN,SEA,186,168,186,180,224,342,372,360,216,186,55.35409,-131.7112,47.44989,-122.3117,156,2420
LAS-BLI,LAS,BLI,106,118,150,148,140,128,132,134,128,142,36.08006,-115.1522,48.7927,-122.5375,157,1326
LAS-BOI,LAS,BOI,141,127,142,132,133,136,140,142,136,140,36.08006,-115.1522,43.56437,-116.2228,158,1369
LAS-EUG,LAS,EUG,18,16,18,18,22,27,24,18,16,18,36.08006,-115.1522,44.12459,-123.2119,159,195
LAS-GEG,LAS,GEG,124,112,124,120,124,120,124,136,134,142,36.08006,-115.1522,47.61903,-117.5352,160,1260
LAS-IDA,LAS,IDA,18,16,18,18,16,18,18,18,12,18,36.08006,-115.1522,43.51373,-112.0707,161,170
LAS-MFR,LAS,MFR,18,16,18,18,18,20,26,18,18,16,36.08006,-115.1522,42.37423,-122.8735,162,186
LAS-PDX,LAS,PDX,462,382,464,521,560,538,558,552,567,582,36.08006,-115.1522,45.58871,-122.5968,163,5186
LAS-PSC,LAS,PSC,18,16,18,18,22,26,26,22,16,18,36.08006,-115.1522,46.2647,-119.119,164,200
